,top words,0,1,2,Text,Text_Processed,REFERENCE_ID,YEAR,TITLE,Text_Processed_str,category
1915,metal heavi trace sediment bioaccumul ,0.61845195,4.895836,-13.499714,"Sensitivity of the freshwater prawn, Macrobrachium lanchesteri (Crustacea: Decapoda), to heavy metals","['sensit', 'freshwat', 'prawn', 'macrobrachium', 'lanchesteri', 'crustacea', 'decapoda', 'heavi', 'metal']",759328,2011,"Sensitivity of the freshwater prawn, Macrobrachium lanchesteri (Crustacea: Decapoda), to heavy metals",sensit freshwat prawn macrobrachium lanchesteri crustacea decapoda heavi metal,1
1919,metal heavi trace sediment bioaccumul ,0.9154205,1.9607828,-11.895165,Lumbricus terrestris L. activity increases the availability of metals and their accumulation in maize and barley,"['lumbricu', 'terrestri', 'L.', 'activ', 'increas', 'avail', 'metal', 'accumul', 'maiz', 'barley']",759391,2011,Lumbricus terrestris L. activity increases the availability of metals and their accumulation in maize and barley,lumbricu terrestri L. activ increas avail metal accumul maiz barley,1
1927,metal heavi trace sediment bioaccumul ,1.3722787,1.8740098,-11.352416,"Impacts of epigeic, anecic and endogeic earthworms on metal and metalloid mobility and availability","['impact', 'epig', 'anec', 'endog', 'earthworm', 'metal', 'metalloid', 'mobil', 'avail']",759353,2011,"Impacts of epigeic, anecic and endogeic earthworms on metal and metalloid mobility and availability",impact epig anec endog earthworm metal metalloid mobil avail,1
1928,metal heavi trace sediment bioaccumul ,1.7739351,0.24303134,-10.832054,Are accumulated sulfide-bound metals metabolically available in the benthic oligochaete Tubifex tubifex,"['are', 'accumul', 'sulfide-bound', 'metal', 'metabol', 'avail', 'benthic', 'oligochaet', 'tubifex', 'tubifex']",759355,2011,Are accumulated sulfide-bound metals metabolically available in the benthic oligochaete Tubifex tubifex,are accumul sulfide-bound metal metabol avail benthic oligochaet tubifex tubifex,1
1931,metal heavi trace sediment bioaccumul ,0.6889748,4.54556,-13.323996,Determination of heavy metals in the fruit of date palm growing at different locations of Riyadh,"['determin', 'heavi', 'metal', 'fruit', 'date', 'palm', 'grow', 'differ', 'locat', 'riyadh']",759365,2011,Determination of heavy metals in the fruit of date palm growing at different locations of Riyadh,determin heavi metal fruit date palm grow differ locat riyadh,1
1948,metal heavi trace sediment bioaccumul ,-0.55420613,8.278449,-10.074398,"Molecular analysis, developmental function and heavy metal-induced expression of ABCC5 in zebrafish","['molecular', 'analysi', 'development', 'function', 'heavi', 'metal-induc', 'express', 'abcc5', 'zebrafish']",759456,2011,"Molecular analysis, developmental function and heavy metal-induced expression of ABCC5 in zebrafish",molecular analysi development function heavi metal-induc express abcc5 zebrafish,1
1956,metal heavi trace sediment bioaccumul ,-5.918198,1.5457617,-12.644281,"A comparative study on the effects of a pesticide (cypermethrin) and two metals (copper, lead) to serum biochemistry of Nile tilapia, Oreochromis niloticus","['A', 'compar', 'studi', 'effect', 'pesticid', 'cypermethrin', 'two', 'metal', 'copper', 'lead', 'serum', 'biochemistri', 'nile', 'tilapia', 'oreochromi', 'niloticu']",759536,2011,"A comparative study on the effects of a pesticide (cypermethrin) and two metals (copper, lead) to serum biochemistry of Nile tilapia, Oreochromis niloticus",A compar studi effect pesticid cypermethrin two metal copper lead serum biochemistri nile tilapia oreochromi niloticu,1
1958,metal heavi trace sediment bioaccumul ,-1.479909,-0.52311426,-14.418615,Feeding and growth responses of the snail Theba pisana to dietary metal exposure,"['feed', 'growth', 'respons', 'snail', 'theba', 'pisana', 'dietari', 'metal', 'exposur']",759595,2011,Feeding and growth responses of the snail Theba pisana to dietary metal exposure,feed growth respons snail theba pisana dietari metal exposur,1
1959,metal heavi trace sediment bioaccumul ,-2.4850378,3.1992557,-10.237317,Changes in heavy metal speciation induced by earthworm feeding activity,"['chang', 'heavi', 'metal', 'speciat', 'induc', 'earthworm', 'feed', 'activ']",759608,2011,Changes in heavy metal speciation induced by earthworm feeding activity,chang heavi metal speciat induc earthworm feed activ,1
1961,metal heavi trace sediment bioaccumul ,2.0222116,1.1999714,-12.752035,"Seasonal variations in the concentrations of metals in Crassostrea corteziensis from Sonora, Mexico","['season', 'variat', 'concentr', 'metal', 'crassostrea', 'corteziensi', 'sonora', 'mexico']",759637,2010,"Seasonal variations in the concentrations of metals in Crassostrea corteziensis from Sonora, Mexico",season variat concentr metal crassostrea corteziensi sonora mexico,1
1965,metal heavi trace sediment bioaccumul ,1.0361614,1.1989887,-10.775732,"TICKET-UWM: A coupled kinetic, equilibrium, and transport screening model for metals in lakes","['ticket-uwm', 'A', 'coupl', 'kinet', 'equilibrium', 'transport', 'screen', 'model', 'metal', 'lake']",759672,2011,"TICKET-UWM: A coupled kinetic, equilibrium, and transport screening model for metals in lakes",ticket-uwm A coupl kinet equilibrium transport screen model metal lake,1
1967,metal heavi trace sediment bioaccumul ,6.1254964,7.612148,-7.6061654,The soil-to-herbs transfer of heavy metals in spruce ecosystems,"['the', 'soil-to-herb', 'transfer', 'heavi', 'metal', 'spruce', 'ecosystem']",759683,2010,The soil-to-herbs transfer of heavy metals in spruce ecosystems,the soil-to-herb transfer heavi metal spruce ecosystem,1
1973,metal heavi trace sediment bioaccumul ,1.0169729,1.5050254,-13.641789,"Concentrations of metals associated with mining waste in sediments, biofilm, benthic macroinvertebrates, and fish from the Coeur d'Alene River Basin, Idaho","['concentr', 'metal', 'associ', 'mine', 'wast', 'sediment', 'biofilm', 'benthic', 'macroinvertebr', 'fish', 'coeur', ""d'alen"", 'river', 'basin', 'idaho']",775106,1998,"Concentrations of metals associated with mining waste in sediments, biofilm, benthic macroinvertebrates, and fish from the Coeur d'Alene River Basin, Idaho",concentr metal associ mine wast sediment biofilm benthic macroinvertebr fish coeur d'alen river basin idaho,1
1974,metal heavi trace sediment bioaccumul ,2.1162002,0.4128923,-10.382612,"Bioavailability of metals in stream food webs and hazards to brook trout (Salvelinus fontinalis) in the upper Animas River watershed, Colorado","['bioavail', 'metal', 'stream', 'food', 'web', 'hazard', 'brook', 'trout', 'salvelinu', 'fontinali', 'upper', 'anima', 'river', 'watersh', 'colorado']",775120,2001,"Bioavailability of metals in stream food webs and hazards to brook trout (Salvelinus fontinalis) in the upper Animas River watershed, Colorado",bioavail metal stream food web hazard brook trout salvelinu fontinali upper anima river watersh colorado,1
1977,metal heavi trace sediment bioaccumul ,-0.24464531,7.1826158,-14.432352,Urinary heavy metals and associated medical conditions in the US adult population,"['urinari', 'heavi', 'metal', 'associ', 'medic', 'condit', 'US', 'adult', 'popul']",783244,2012,Urinary heavy metals and associated medical conditions in the US adult population,urinari heavi metal associ medic condit US adult popul,1
1981,metal heavi trace sediment bioaccumul ,2.52451,8.565531,-14.270035,Trace metals,"['trace', 'metal']",783981,1985,Trace metals,trace metal,1
1991,metal heavi trace sediment bioaccumul ,0.4510397,3.7868693,-13.57277,Concentrations of heavy metals in fly ash from a coal-fired power plant with respect to the new Finnish limit values,"['concentr', 'heavi', 'metal', 'fli', 'ash', 'coal-fir', 'power', 'plant', 'respect', 'new', 'finnish', 'limit', 'valu']",463484,2008,Concentrations of heavy metals in fly ash from a coal-fired power plant with respect to the new Finnish limit values,concentr heavi metal fli ash coal-fir power plant respect new finnish limit valu,1
1994,metal heavi trace sediment bioaccumul ,1.1289692,1.4222223,-11.575602,Metal accumulation in A. baccifera growing naturally on abandoned copper tailings pond,"['metal', 'accumul', 'A.', 'baccifera', 'grow', 'natur', 'abandon', 'copper', 'tail', 'pond']",463904,2007,Metal accumulation in A. baccifera growing naturally on abandoned copper tailings pond,metal accumul A. baccifera grow natur abandon copper tail pond,1
2002,metal heavi trace sediment bioaccumul ,0.30671275,2.773717,-15.652687,Do acid volatile sulfides (AVS) influence the accumulation of sediment-bound metals to benthic invertebrates under natural field conditions?,"['Do', 'acid', 'volatil', 'sulfid', 'av', 'influenc', 'accumul', 'sediment-bound', 'metal', 'benthic', 'invertebr', 'natur', 'field', 'condit']",464516,2009,Do acid volatile sulfides (AVS) influence the accumulation of sediment-bound metals to benthic invertebrates under natural field conditions?,Do acid volatil sulfid av influenc accumul sediment-bound metal benthic invertebr natur field condit,1
2020,metal heavi trace sediment bioaccumul ,-3.8149846,2.963625,-13.976929,The neurotoxic effects of heavy metal exposure on GABAergic nervous system in nematode Caenorhabditis elegans,"['the', 'neurotox', 'effect', 'heavi', 'metal', 'exposur', 'gabaerg', 'nervou', 'system', 'nematod', 'caenorhabd', 'elegan']",467260,2009,The neurotoxic effects of heavy metal exposure on GABAergic nervous system in nematode Caenorhabditis elegans,the neurotox effect heavi metal exposur gabaerg nervou system nematod caenorhabd elegan,1
2021,metal heavi trace sediment bioaccumul ,2.7200801,0.030841155,-10.944858,Seasonal changes of metal accumulation and distribution in common club rush (Schoenoplectus lacustris) and common reed (Phragmites australis),"['season', 'chang', 'metal', 'accumul', 'distribut', 'common', 'club', 'rush', 'schoenoplectu', 'lacustri', 'common', 'reed', 'phragmit', 'australi']",467482,2007,Seasonal changes of metal accumulation and distribution in common club rush (Schoenoplectus lacustris) and common reed (Phragmites australis),season chang metal accumul distribut common club rush schoenoplectu lacustri common reed phragmit australi,1
2022,metal heavi trace sediment bioaccumul ,3.436106,1.8726757,-12.661105,Seasonal changes of metal accumulation and distribution in shining pondweed (Potamogeton lucens),"['season', 'chang', 'metal', 'accumul', 'distribut', 'shine', 'pondwe', 'potamogeton', 'lucen']",467484,2006,Seasonal changes of metal accumulation and distribution in shining pondweed (Potamogeton lucens),season chang metal accumul distribut shine pondwe potamogeton lucen,1
2026,metal heavi trace sediment bioaccumul ,0.29886746,0.481843,-10.333402,Tolerance of the lichen Xanthoria parietina (L.) Th. Fr. to metal stress,"['toler', 'lichen', 'xanthoria', 'parietina', 'L.', 'Th', 'Fr', 'metal', 'stress']",467852,2008,Tolerance of the lichen Xanthoria parietina (L.) Th. Fr. to metal stress,toler lichen xanthoria parietina L. Th Fr metal stress,1
2029,metal heavi trace sediment bioaccumul ,0.6485841,6.6432867,-13.720218,"Variation and correlations of selected heavy metals in sediment and aquatic plants in Tasik Chini, Malaysia","['variat', 'correl', 'select', 'heavi', 'metal', 'sediment', 'aquat', 'plant', 'tasik', 'chini', 'malaysia']",467940,2009,"Variation and correlations of selected heavy metals in sediment and aquatic plants in Tasik Chini, Malaysia",variat correl select heavi metal sediment aquat plant tasik chini malaysia,1
2038,metal heavi trace sediment bioaccumul ,-1.0587684,7.9608893,-9.622618,Effects of physiological concentrations of heavy metals both individually and in mixtures on the viability and function of peripheral blood human leukocytes in vitro,"['effect', 'physiolog', 'concentr', 'heavi', 'metal', 'individu', 'mixtur', 'viabil', 'function', 'peripher', 'blood', 'human', 'leukocyt', 'vitro']",471494,2008,Effects of physiological concentrations of heavy metals both individually and in mixtures on the viability and function of peripheral blood human leukocytes in vitro,effect physiolog concentr heavi metal individu mixtur viabil function peripher blood human leukocyt vitro,1
2042,metal heavi trace sediment bioaccumul ,3.0783315,4.3829446,-16.920004,Metal distributions in New Orleans following hurricanes Katrina and Rita: A continuation study,"['metal', 'distribut', 'new', 'orlean', 'follow', 'hurrican', 'katrina', 'rita', 'A', 'continu', 'studi']",461598,2006,Metal distributions in New Orleans following hurricanes Katrina and Rita: A continuation study,metal distribut new orlean follow hurrican katrina rita A continu studi,1
2045,metal heavi trace sediment bioaccumul ,-3.4897072,2.7613537,-12.739167,"Immunosuppressive effect of subchronic exposure to a mixture of eight heavy metals, found as groundwater contaminants in different areas of India, through drinking water in male rats","['immunosuppress', 'effect', 'subchron', 'exposur', 'mixtur', 'eight', 'heavi', 'metal', 'found', 'groundwat', 'contamin', 'differ', 'area', 'india', 'drink', 'water', 'male', 'rat']",483390,2007,"Immunosuppressive effect of subchronic exposure to a mixture of eight heavy metals, found as groundwater contaminants in different areas of India, through drinking water in male rats",immunosuppress effect subchron exposur mixtur eight heavi metal found groundwat contamin differ area india drink water male rat,1
2049,metal heavi trace sediment bioaccumul ,2.4469955,8.468787,-14.24267,Solubility of deposited airborne heavy metals,"['solubl', 'deposit', 'airborn', 'heavi', 'metal']",461315,2008,Solubility of deposited airborne heavy metals,solubl deposit airborn heavi metal,1
